,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
38,15.55302025,32.54224176,18.3419,0.7767,"POLYGON((32.5422655197249 15.5530051332959, 32.5422613842166 15.5530401736669, 32.5422180074198 15.5530353627055, 32.5422221429354 15.5530003223355, 32.5422655197249 15.5530051332959))",7G7JHG3R+6V5W
39,15.70816079,32.48451147,31.4514,0.834,"POLYGON((32.4845397974067 15.7081366806702, 32.4845433327078 15.7081803170668, 32.4844831483424 15.7081848922451, 32.4844796130542 15.7081412558482, 32.4845397974067 15.7081366806702))",7G7JPF5M+7R6F
40,16.59531297,33.13064891,19.3595,0.7377,"POLYGON((33.1306728209474 16.5952963285199, 33.1306711128937 16.5953316910008, 33.1306250113084 16.5953296204777, 33.1306267193704 16.595294257997, 33.1306728209474 16.5952963285199))",7G8MH4WJ+47CH
41,15.25117806,32.50857386,32.3711,0.8023,"POLYGON((32.5086113255634 15.251163262193, 32.5086063480379 15.2512014509462, 32.5085364084783 15.251192859, 32.5085413860161 15.2511546702487, 32.5086113255634 15.251163262193))",7G7J7G25+FCG3
42,15.66060157,32.42423324,18.993,0.8153,"POLYGON((32.4242522914912 15.6605805019929, 32.4242514771521 15.6606232870664, 32.4242142027718 15.6606226210602, 32.4242150171187 15.6605798359871, 32.4242522914912 15.6605805019929))",7G7JMC6F+6MX3
43,15.71857929,32.60227568,14.7823,0.7658,"POLYGON((32.602299763848 15.7185673565601, 32.6022980914815 15.718593967835, 32.602251591675 15.7185912261324, 32.6022532640475 15.7185646148579, 32.602299763848 15.7185673565601))",7G7JPJ92+CWJ5
44,15.64303181,32.63903157,18.2546,0.7501,"POLYGON((32.6390497535263 15.6430106071995, 32.6390490884485 15.6430535307314, 32.6390133777192 15.6430530112066, 32.6390140428044 15.6430100876749, 32.6390497535263 15.6430106071995))",7G7JJJVQ+6J76
45,15.52563498,32.41718,7.5318,0.7466,"POLYGON((32.4171916903017 15.525621444414, 32.4171916141363 15.525648565419, 32.4171683032267 15.5256485038799, 32.4171683793952 15.5256213828751, 32.4171916903017 15.525621444414))",7G7JGCG8+7V39
46,15.66983344,32.50055384,6.2186,0.692,"POLYGON((32.500562972203 15.6698185236948, 32.5005618557075 15.6698489447553, 32.5005447063614 15.669848353951, 32.5005458228596 15.6698179328908, 32.500562972203 15.6698185236948))",7G7JMG92+W6M8
47,15.65440252,32.40937604,10.0125,0.7228,"POLYGON((32.4093930686884 15.6543903697195, 32.4093922469653 15.6544156612097, 32.4093590282421 15.654414647965, 32.4093598499692 15.654389356475, 32.4093930686884 15.6543903697195))",7G7JMC35+QQ62
48,15.59648472,32.41953272,56.3099,0.7982,"POLYGON((32.4196061260376 15.5964786985347, 32.4194699351405 15.5965220745958, 32.4194593109229 15.5964907400642, 32.4195955018023 15.5964473640087, 32.4196061260376 15.5964786985347))",7G7JHCW9+HRV6
49,15.26440085,30.61817108,31.9605,0.7356,"POLYGON((30.6182009743294 15.264375756774, 30.6181799279249 15.264438239357, 30.6181411874794 15.2644259418121, 30.6181622338936 15.2643634592343, 30.6182009743294 15.264375756774))",7G7G7J79+Q773
50,15.72772245,32.45876136,25.6466,0.8098,"POLYGON((32.4587775989994 15.7276881399471, 32.4587762597246 15.7277573295841, 32.4587451255607 15.7277567642165, 32.4587464648463 15.7276875745801, 32.4587775989994 15.7276881399471))",7G7JPFH5+3GJV
51,15.6390945,32.45895386,30.3702,0.8375,"POLYGON((32.4589821378454 15.6390719718382, 32.4589820190998 15.639117173373, 32.4589255899745 15.6391170341747, 32.458925708732 15.6390718326403, 32.4589821378454 15.6390719718382))",7G7JJFQ5+JHPP
52,15.63250734,32.65758544,8.6626,0.7083,"POLYGON((32.6576021153813 15.6324969298185, 32.6576006561928 15.6325196502618, 32.6575687592375 15.632517726649, 32.6575702184292 15.6324950062059, 32.6576021153813 15.6324969298185))",7G7JJMM5+2248
53,16.54498129,33.04453346,42.2368,0.8579,"POLYGON((33.0445732794762 16.5449786774929, 33.0445413252268 16.5449856710302, 33.0445491092365 16.5450187589432, 33.0445148478659 16.5450262574132, 33.0444990507304 16.5449591076082, 33.0445652663338 16.5449446156049, 33.0445732794762 16.5449786774929))",7G8MG2VV+XRV6
54,14.25715671,32.67587183,41.7422,0.8422,"POLYGON((32.6759131278752 14.2571403755744, 32.6759049686805 14.2571857762519, 32.6758305321893 14.2571730506103, 32.6758386913983 14.2571276499356, 32.6759131278752 14.2571403755744))",7G6J7M4G+V899
55,15.64447202,32.52280272,68.0921,0.7894,"POLYGON((32.5228196689211 15.6445437771764, 32.5227794175059 15.6445420856515, 32.5227857649513 15.6444002704482, 32.5228260163393 15.6444019619713, 32.5228196689211 15.6445437771764))",7G7JJGVF+Q4MW
56,14.29869195,32.98966185,33.9853,0.8529,"POLYGON((32.9897002990487 14.2986760834612, 32.9896966246859 14.2987144879856, 32.9896234029195 14.2987078262599, 32.9896270772946 14.2986694217365, 32.9897002990487 14.2986760834612))",7G6J7XXQ+FVFJ
57,14.77430806,33.29814674,8.6606,0.7092,"POLYGON((33.2981616096132 14.7742960816389, 33.2981599292798 14.7743217923281, 33.2981318678633 14.7743200559479, 33.2981335481999 14.7742943452588, 33.2981616096132 14.7742960816389))",7G6MQ7FX+P7C8
58,15.43223129,32.47684922,23.8393,0.8268,"POLYGON((32.4768722735136 15.4322080842614, 32.4768633565674 15.4322604566325, 32.4768261790635 15.43225450108, 32.4768350960185 15.4322021287107, 32.4768722735136 15.4322080842614))",7G7JCFJG+VPX6
59,15.57697361,32.57707604,21.2933,0.6732,"POLYGON((32.5771010276589 15.57695679091, 32.5770953054766 15.5769964223433, 32.5770510608764 15.5769904203722, 32.5770567830668 15.5769507889402, 32.5771010276589 15.57695679091))",7G7JHHGG+QRPV
60,15.60023011,32.45505094,156.5761,0.9015,"POLYGON((32.4551291514028 15.6002574114725, 32.455008306872 15.6002992827424, 32.4549727216963 15.6002028127758, 32.4550935661758 15.6001609415215, 32.4551291514028 15.6002574114725))",7G7JJF24+32V8
61,15.5092627,32.58191953,16.296,0.8118,"POLYGON((32.5819385701976 15.5092443532801, 32.5819341780532 15.5092845008601, 32.5819004881081 15.5092810357399, 32.5819048802589 15.5092408881607, 32.5819385701976 15.5092443532801))",7G7JGH5J+PQ3F
62,14.37981733,33.0628457,10.7652,0.67,"POLYGON((33.0628585800161 14.3797988952088, 33.0628561930146 14.3798371684212, 33.062832794984 14.3798357817762, 33.0628351819896 14.3797975085639, 33.0628585800161 14.3797988952088))",7G6M93H7+W4HJ
63,19.15184484,32.54622567,60.1177,0.8498,"POLYGON((32.546274699547 19.1518614423198, 32.5462094460152 19.151891839399, 32.5461766430402 19.1518282422236, 32.5462418965524 19.1517978451555, 32.546274699547 19.1518614423198))",7GFJ5G2W+PFQJ
64,14.50171687,32.75812309,18.6962,0.732,"POLYGON((32.7581478095832 14.5017022503284, 32.7581445089514 14.5017358062073, 32.758098387234 14.5017315001441, 32.7581016878726 14.5016979442661, 32.7581478095832 14.5017022503284))",7G6JGQ25+M6QQ
65,15.64503927,32.53347613,414.8641,0.8571,"POLYGON((32.5336897188453 15.6449997544579, 32.5336891802507 15.645081420669, 32.5332625316136 15.6450787783929, 32.5332630703772 15.6449971121887, 32.5336897188453 15.6449997544579))",7G7JJGWM+299C
66,13.81825435,34.25512401,30.6573,0.858,"POLYGON((34.2551476509198 13.8182276179466, 34.2551521595508 13.8182765233947, 34.2551003692009 13.8182810830163, 34.2550958605804 13.8182321775665, 34.2551476509198 13.8182276179466))",7G5PR794+8255
67,15.51483108,32.58316062,225.4216,0.9017,"POLYGON((32.583249941526 15.5147846145682, 32.5832341271282 15.5148987524473, 32.5830712923846 15.5148775420926, 32.5830871068688 15.5147634042289, 32.583249941526 15.5147846145682))",7G7JGH7M+W7M6
68,15.52993126,32.5699148,37.1899,0.8631,"POLYGON((32.5699485940017 15.5299099468997, 32.5699411917778 15.5299608021895, 32.5698810042869 15.52995256754, 32.5698884065251 15.5299017122525, 32.5699485940017 15.5299099468997))",7G7JGHH9+XXF7
69,15.84934842,32.30050965,23.9939,0.7553,"POLYGON((32.3005468228689 15.8493579282582, 32.3005291063278 15.8493805262929, 32.3004724613659 15.8493389155993, 32.3004901779095 15.8493163175696, 32.3005468228689 15.8493579282582))",7G7JR8X2+P6JV
70,15.62887565,32.33370592,30.8228,0.8683,"POLYGON((32.3337234055104 15.6288375073825, 32.3337221220749 15.6289143320459, 32.3336884362286 15.6289138035859, 32.3336897196767 15.6288369789232, 32.3337234055104 15.6288375073825))",7G7JJ8HM+HF44
71,14.87614486,33.22245331,14.7393,0.7823,"POLYGON((33.2224776143541 14.8761333913708, 33.2224755627614 14.8761597468255, 33.2224290301157 14.8761563205811, 33.2224310817141 14.8761299651268, 33.2224776143541 14.8761333913708))",7G6MV6GC+FX4P
72,14.41561315,33.92244494,46.5369,0.8301,"POLYGON((33.9224910315371 14.4155983361256, 33.9224823464066 14.4156432833621, 33.9223988475622 14.4156279569319, 33.9224075327091 14.4155830096975, 33.9224910315371 14.4155983361256))",7G6MCW8C+6XWC
73,19.66123442,30.39184341,89.7312,0.7314,"POLYGON((30.3919139888571 19.6612434924172, 30.3917935584429 19.6612826006302, 30.3917728376829 19.6612253376792, 30.3918932680559 19.6611862294758, 30.3919139888571 19.6612434924172))",7GFGM96R+FPW9
74,15.61198119,32.92753624,14.469,0.7841,"POLYGON((32.9275557501044 15.6119652440593, 32.9275467671418 15.6120037238447, 32.9275167283964 15.6119971377143, 32.9275257113643 15.6119586579303, 32.9275557501044 15.6119652440593))",7G7JJW6H+Q2V6
75,14.06663481,33.49002614,22.6789,0.8203,"POLYGON((33.4900455466881 14.0666100745218, 33.4900442102828 14.0666604969805, 33.4900067339321 14.0666595504838, 33.4900080703454 14.0666091280251, 33.4900455466881 14.0666100745218))",7G6M3F8R+M229
76,14.3280493,33.67897179,6.9694,0.6712,"POLYGON((33.6789861021739 14.3280397395396, 33.6789834936286 14.3280618163754, 33.6789574869054 14.3280588950591, 33.6789600954532 14.3280368182235, 33.6789861021739 14.3280397395396))",7G6M8MHH+6H9R
77,14.41999676,33.01201807,30.4894,0.8081,"POLYGON((33.0120554753788 14.4199947708227, 33.012033661032 14.4200299621157, 33.0119806563581 14.419998752334, 33.0120024707101 14.4199635610458, 33.0120554753788 14.4199947708227))",7G6MC296+XRRW
78,15.69827114,32.43657606,15.601,0.7693,"POLYGON((32.4365938866984 15.6982526661665, 32.4365929184306 15.698290437811, 32.4365582401397 15.6982896035939, 32.4365592084141 15.6982518319497, 32.4365938866984 15.6982526661665))",7G7JMCXP+8J4V
79,15.64898807,32.43813269,10.4979,0.7002,"POLYGON((32.4381450257603 15.6489697350023, 32.4381440083046 15.6490070099277, 32.4381203701262 15.6490064041458, 32.4381213875859 15.6489691292206, 32.4381450257603 15.6489697350023))",7G7JJCXQ+H7RC
80,14.14809147,33.13534801,21.6927,0.6763,"POLYGON((33.1353624017331 14.1480652745662, 33.1353747104754 14.1481057602773, 33.13533363498 14.1481176515063, 33.1353213262447 14.1480771657929, 33.1353624017331 14.1480652745662))",7G6M44XP+64QJ
81,15.5113501,32.40050256,8.0031,0.6968,"POLYGON((32.4005158442379 15.5113368216944, 32.4005196733945 15.5113582720465, 32.4004892681433 15.5113633748479, 32.4004854389898 15.5113419244954, 32.4005158442379 15.5113368216944))",7G7JGC62+G6R2
82,15.10788831,32.55060117,16.8139,0.8498,"POLYGON((32.5506228854057 15.1078727477742, 32.550615165669 15.1079107188863, 32.5505794629651 15.1079038681499, 32.5505871827078 15.1078658970393, 32.5506228854057 15.1078727477742))",7G7J4H52+565C
83,14.38765692,33.55102964,31.8384,0.6999,"POLYGON((33.5510515080123 14.387625462308, 33.5510489281515 14.3876899431781, 33.5510077632009 14.3876883782624, 33.5510103430733 14.3876238973924, 33.5510515080123 14.387625462308))",7G6M9HQ2+3C69
84,15.23841397,32.53330915,12.4429,0.6512,"POLYGON((32.5333268158909 15.2383993359906, 32.5333225184164 15.2384324087327, 32.5332914752403 15.2384286063749, 32.5332957727195 15.2383955336335, 32.5333268158909 15.2383993359906))",7G7J6GQM+987H
85,15.62188842,32.62559339,16.3687,0.7024,"POLYGON((32.6256093930456 15.6218654758389, 32.6256060145309 15.6219132833402, 32.6255773950083 15.6219113839617, 32.6255807735288 15.6218635764609, 32.6256093930456 15.6218654758389))",7G7JJJCG+Q64H
86,17.14431845,33.72630391,9.2265,0.6645,"POLYGON((33.7263210943216 17.1443060463791, 33.7263234403772 17.1443270748417, 33.7262867263708 17.1443308611128, 33.7262843803193 17.1443098326497, 33.7263210943216 17.1443060463791))",7G9M4PVG+PGFP
87,14.21171862,31.58993037,28.0814,0.7283,"POLYGON((31.5899365080841 14.2117555315532, 31.5899029902193 14.2117448087511, 31.5899242058862 14.2116816970281, 31.5899577237432 14.211692419827, 31.5899365080841 14.2117555315532))",7G6H6H6Q+MXMQ
88,14.85029689,33.19935769,17.2134,0.7178,"POLYGON((33.1993798009965 14.850281417213, 33.1993722925255 14.8503192539963, 33.1993355939755 14.8503123638086, 33.1993431024526 14.8502745270264, 33.1993798009965 14.850281417213))",7G6MV52X+4P9V
89,15.51534649,32.5371072,17.2733,0.6809,"POLYGON((32.5371289251458 15.5153302312822, 32.5371264730414 15.5153654392375, 32.5370854801339 15.5153627552404, 32.5370879322452 15.5153275472857, 32.5371289251458 15.5153302312822))",7G7JGG8P+4RQV
90,14.3388383,33.71777498,18.2099,0.8024,"POLYGON((33.7177986176106 14.3388237887746, 33.7177908036066 14.3388607480749, 33.7177513501624 14.3388528189754, 33.7177591641729 14.3388158596762, 33.7177986176106 14.3388237887746))",7G6M8PQ9+G4JH
91,16.64876255,33.2129226,44.9126,0.8597,"POLYGON((33.2129747546566 16.6487725292449, 33.2129528774161 16.6488046899657, 33.2128704395407 16.648752576109, 33.2128923167889 16.6487204153964, 33.2129747546566 16.6487725292449))",7G8MJ6X7+G53G
92,14.05334026,32.87210424,21.6015,0.7394,"POLYGON((32.872137534606 14.0533351650487, 32.8720890409528 14.0533696259554, 32.8720709396751 14.0533453506321, 32.8721194333259 14.0533108897289, 32.872137534606 14.0533351650487))",7G6J3V3C+8RQM
93,15.64943898,32.49420463,59.0805,0.7903,"POLYGON((32.4942213 15.6493817, 32.4942325 15.649492, 32.494188 15.6494963, 32.4941767 15.649386, 32.4942213 15.6493817))",7G7JJFXV+QMGG
94,15.53991183,32.52493801,97.267,0.8083,"POLYGON((32.5249879529004 15.5398746738023, 32.5249744915556 15.5399729722303, 32.5249287664759 15.5399670869595, 32.5249327048915 15.5399383276271, 32.5248819551914 15.5399317956266, 32.5248914781589 15.539862256537, 32.5249879529004 15.5398746738023))",7G7JGGQF+XX8C
95,15.13289893,32.88072555,19.2661,0.8156,"POLYGON((32.8807498056368 15.1328836992859, 32.8807432737233 15.1329210973263, 32.8807013193526 15.1329141829646, 32.8807078512732 15.1328767849256, 32.8807498056368 15.1328836992859))",7G7J4VMJ+575R
96,14.28802724,33.33857959,16.1848,0.7585,"POLYGON((33.3386056065877 14.2880200753187, 33.3385782339396 14.2880535758125, 33.3385535716294 14.2880344117628, 33.3385809442789 14.2880009112717, 33.3386056065877 14.2880200753187))",7G6M78QQ+6C84
97,16.63624793,33.28517664,26.2459,0.7981,"POLYGON((33.2851990678017 16.6362234132461, 33.2852014834382 16.6362701606826, 33.2851542090386 16.6362724311522, 33.2851517934136 16.6362256837153, 33.2851990678017 16.6362234132461))",7G8MJ7PP+F3VW
98,15.46987951,32.39162776,40.8355,0.8715,"POLYGON((32.3916501602351 15.469841147022, 32.3916499358254 15.4699179898979, 32.391605340818 15.4699178674055, 32.3916055652442 15.4698410245301, 32.3916501602351 15.469841147022))",7G7JF99R+XM22
99,14.61272967,32.89971631,8.1821,0.6559,"POLYGON((32.899728830326 14.6127154774662, 32.8997262911247 14.6127456537996, 32.8997037797874 14.6127438576783, 32.8997063189915 14.6127136813451, 32.899728830326 14.6127154774662))",7G6JJV7X+3VW5
